Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1,Rookie_Year,Fetch_Date
40,Caleb Love,"Oct 27, '25, POR @ LAL",24,1,36,788,146,373,74,225,32,43,19,96,92,22,4,45,45,398,0.391,0.329,0.744,21.9,11.1,2.7,2.6,0.6,0.1,2026,2026-01-21
41,Khaman Maluach,"Oct 24, '25, PHO @ LAC",19,1,18,84,8,20,0,5,7,8,5,18,3,1,7,9,15,23,0.4,0.0,0.875,4.7,1.3,1.0,0.2,0.1,0.4,2026,2026-01-21
42,Chris Ma̱on,"Oct 26, '25, LAL @ SAC",24,1,4,14,0,1,0,1,0,0,1,3,0,1,2,0,3,0,0.0,0.0,,3.5,0.0,0.8,0.0,0.3,0.5,2026,2026-01-21
43,Alijah Martin,"Dec 7, '25, TOR vs. BOS",24,1,10,88,9,26,2,11,10,12,6,12,8,5,3,3,9,30,0.346,0.182,0.833,8.8,3.0,1.2,0.8,0.5,0.3,2026,2026-01-21
44,Jahmai Mashack,"Nov 20, '25, MEM vs. SAC",23,1,7,25,2,8,2,6,0,0,0,5,2,1,0,3,1,6,0.25,0.333,,3.6,0.9,0.7,0.3,0.1,0.0,2026,2026-01-21
45,Liam McNeeley,"Oct 26, '25, CHO @ WAS",20,1,27,336,34,86,22,58,25,31,11,59,23,5,3,12,35,115,0.395,0.379,0.806,12.4,4.3,2.2,0.9,0.2,0.1,2026,2026-01-21
46,Collin Murray-Boyles,"Oct 26, '25, TOR @ DAL",20,1,37,796,119,222,15,43,34,53,94,189,73,32,26,41,97,287,0.536,0.349,0.642,21.5,7.8,5.1,2.0,0.9,0.7,2026,2026-01-21
47,Ryan Nembhard,"Oct 22, '25, DAL vs. SAS",22,1,31,638,97,213,30,76,8,11,6,60,162,7,0,48,47,232,0.455,0.395,0.727,20.6,7.5,1.9,5.2,0.2,0.0,2026,2026-01-21
48,Asa Newell,"Oct 24, '25, ATL @ ORL",20,1,33,351,67,120,25,57,11,20,28,63,18,12,11,17,53,170,0.558,0.439,0.55,10.6,5.2,1.9,0.5,0.4,0.3,2026,2026-01-21
49,Lachlan Olbrich,"Nov 29, '25, CHI @ IND",22,1,10,73,2,9,0,4,0,2,7,21,9,0,0,4,16,4,0.222,0.0,0.0,7.3,0.4,2.1,0.9,0.0,0.0,2026,2026-01-21
50,Micah Peavy,"Oct 27, '25, NOP vs. BOS",24,1,37,585,72,184,16,66,11,15,31,79,43,24,5,11,65,171,0.391,0.242,0.733,15.8,4.6,2.1,1.2,0.6,0.1,2026,2026-01-21
51,Noah Penda,"Oct 27, '25, ORL @ PHI",21,1,27,375,48,110,19,45,19,31,44,110,31,14,12,20,35,134,0.436,0.422,0.613,13.9,5.0,4.1,1.1,0.5,0.4,2026,2026-01-21
